Category,Subcategory,count
Altres,Altres,49
Cura personal,Altres,5
Cura personal,Cabell,11
Cura personal,Manicura,6
Cura personal,Maquillatge,27
Cura personal,Moda,24
Festivitats,Calendari Advent,124
Festivitats,Halloween,14
Festivitats,Nadal,22
Gadgets,Altres,6
Gadgets,Amazon,17
Gadgets,Temu,9
Llar,Altres,1
Llar,Cuina,38
Llar,Neteja,39
Llar,Ordre i Decoració,90
Llar,Trucs pel dia a dia,82
Oci i Cultura,DIY,15
Oci i Cultura,Geocaching,8
Oci i Cultura,Jocs,5
Oci i Cultura,Llibres,5
Oci i Cultura,Plans,23
Oci i Cultura,Regals,7
Oci i Cultura,Sèries i Pelis,6
Oci i Cultura,Viatges,24
