YearMonth,Número Posts
2020-12,26
2021-01,26
2021-02,15
2021-03,17
2021-04,21
2021-05,27
2021-06,23
2021-07,14
2021-08,16
2021-09,21
2021-10,18
2021-11,18
2021-12,34
2022-01,8
2022-02,5
2022-03,7
2022-04,4
2022-05,3
2022-06,4
2022-07,2
2022-08,1
2022-09,3
2022-10,5
2022-11,2
2022-12,29
2023-01,3
2023-02,3
2023-03,15
2023-04,4
2023-05,9
2023-06,8
2023-07,4
2023-08,3
2023-09,12
2023-10,17
2023-11,18
2023-12,26
2024-01,7
2024-02,8
2024-03,13
2024-04,11
2024-05,10
2024-06,13
2024-07,6
2024-08,3
2024-09,6
2024-10,14
2024-11,6
2024-12,53
2025-01,6
2025-02,5
2025-03,11
2025-04,5
2025-05,5
2025-06,4
